No,Unit,Question,CorrectAnswer,Image,Explanation
21,p.31,同僚や親しい間柄の人に対するお辞儀。上体を約15°傾ける。,会釈,,軽い挨拶や廊下ですれ違うときなど、日常的な場面で使う最も軽いお辞儀です。目が合ったときに軽く頭を下げる動作が該当します。
22,p.31,受付や一般的な場面でのお辞儀。上体を約30°傾ける。,普通礼（敬礼）,,ビジネスの場で最もよく使う標準的なお辞儀です。お客様の来訪・見送り、上司への挨拶など幅広い場面で活用されます。
23,p.31,深い感謝やおわび、見送りなどに用いる非常に丁寧なお辞儀。上体を45°傾ける。,最敬礼,,3種類のお辞儀の中で最も深いお辞儀です。深いお詫びや最上級の敬意を示すときに使います。
24,p.31,Time:時間、Place:場所、Occasion:場合の頭文字をとった略語。,TPO,,時間・場所・場合に合わせた服装・言葉遣い・行動をとることの大切さを表す言葉です。ビジネスマナーの基本として広く使われます。
25,p.31,外見や立ち居振る舞いで決まる初対面の印象。,第一印象,,初めて会った瞬間に形成される印象です。メラビアンの法則では視覚情報（見た目・表情）が55%を占めるとされ、清潔感ある身だしなみが特に重要です。
26,p.31,椅子にかけるときや椅子から立つときに、3段階で動くと美しく見える足の運び方。,スリーステップ,,①足をそろえて椅子の横に立つ②片足を後ろに引く③静かに腰を下ろす、という3段階の動作で、スマートな所作を見せることができます。
27,p.31,相手を高めることで敬意を表す。相手の動作などに対して使う。,尊敬語,,相手や話題の人物の動作・状態を高めて表現する敬語です。「いらっしゃる」「おっしゃる」「召し上がる」などが代表例です。
28,p.31,自分がへりくだることで相手を高め敬意を表す。自分や身内の動作などに対して使う。,謙譲語,,自分や自分側の動作をへりくだって表現することで相手を立てる敬語です。「参る」「申す」「いただく」などが代表例です。
29,p.31,語尾に「です」「ます」をつけて相手に敬意を表す。丁寧に言うときに使う。,丁寧語,,話し相手に対して丁寧な印象を与えるための敬語です。「です」「ます」「ございます」などを使い、日常会話からビジネスまで幅広く活用されます。
30,p.31,食べ物や物事に「お」「ご」をつけて美化し、会話や文章の品格を高め丁寧な印象にする表現。,美化語,,「お茶」「お菓子」「ご飯」など、言葉に「お」「ご」を付けることで上品・丁寧な表現にする言い方です。尊敬語・謙譲語とは異なり、特定の相手に向けたものではありません。
31,p.31,一つの語について、同じ種類の敬語を二重に使った過剰な敬語表現。,二重敬語,,「おっしゃられる」（「おっしゃる」と「られる」の二重使用）など、一つの語に同種の敬語を重ねた誤った使い方です。丁寧すぎて不自然に聞こえるため避けましょう。
32,p.31,前置きに使うと相手に柔らかな印象を与える言い回し。,クッション言葉,,「恐れ入りますが」「よろしければ」「差し支えなければ」など、依頼・断り・指摘をする前に添える言葉です。相手への配慮を示し、会話をスムーズにします。
33,p.31,人に会うときに、電話やメールなどで約束を取りつけること。訪問予約ともいう。,アポイント,,事前に日時・場所・目的を相手に連絡して訪問の了解を得ることです。アポなしの突然の訪問は相手に迷惑をかけるため、ビジネスマナーとして必須です。
34,p.31,数人分のお茶を入れるときにお茶の濃さが均等になるように、それぞれの茶碗に少しずつ順番にそそいで入れること。,戻りつぎ,,急須から複数の湯飲みに順番に少しずつ注ぎ、また最初の湯飲みに戻って注ぐことを繰り返す注ぎ方です。全員に均一の濃さのお茶を提供できます。
35,p.31,来客にお茶を出すときに茶碗を載せる受け皿。,茶托,,湯飲み茶碗の下に置く木製や漆塗りの受け皿です。熱さで机が傷むのを防ぎ、見た目にも丁寧な印象を与えます。
36,p.31,コップの水滴がテーブルにつかないようにするためのコップ敷き。,コースター,,飲み物を入れたグラスやカップの底に敷くものです。結露によるテーブルの水濡れを防ぐとともに、接客時の丁寧な印象にもつながります。
37,p.31,電話対応で、担当者が不在の場合に先方が話した内容を書くメモ。,伝言メモ,,電話を受けた際、担当者が不在のとき相手の名前・用件・連絡先・折り返しの有無などを記録して担当者に渡すメモです。5W1Hを意識して正確に書くことが大切です。
38,p.31,応接室などで座る場所の順番。,席次,,来客・会議・乗り物など場面ごとに決まっている座席の優先順位のことです。目上の人や来客が上座に座るのが基本マナーです。
39,p.31,応接室などで来客や目上の人が座る席。上席ともいう。,上座,,出入口から遠い奥の席が上座にあたります。来客・役職が高い人・年長者を上座に案内するのがビジネスマナーの基本です。
40,p.31,応接室などで応対する側や目下の人が座る席。末席ともいう。,下座,,出入口に近い席が下座にあたります。接待する側・役職が低い人・年少者が下座に座り、来客のサポートをしやすい位置を確保します。
